title,Num_ratings
"Shawshank Redemption, The (1994)",97999
Forrest Gump (1994),97040
Pulp Fiction (1994),92406
"Silence of the Lambs, The (1991)",87899
"Matrix, The (1999)",84545
Star Wars: Episode IV - A New Hope (1977),81815
Jurassic Park (1993),76451
Schindler's List (1993),71516
Braveheart (1995),68803
Toy Story (1995),68469
Star Wars: Episode VI - Return of the Jedi (1983),66023
Star Wars: Episode V - The Empire Strikes Back (1980),65822
Fight Club (1999),65678
Terminator 2: Judgment Day (1991),64258
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),63505
"Usual Suspects, The (1995)",62180
"Lord of the Rings: The Fellowship of the Ring, The (2001)",61883
"Godfather, The (1972)",60904
American Beauty (1999),60820
Independence Day (a.k.a. ID4) (1996),58949
Apollo 13 (1995),58665
"Fugitive, The (1993)",58031
Back to the Future (1985),57492
"Lord of the Rings: The Return of the King, The (2003)",57378
"Lord of the Rings: The Two Towers, The (2002)",56696
Seven (a.k.a. Se7en) (1995),55240
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),54846
Fargo (1996),54500
Batman (1989),54448
Saving Private Ryan (1998),54027
"Sixth Sense, The (1999)",52270
Dances with Wolves (1990),51877
Aladdin (1992),51839
True Lies (1994),50864
Gladiator (2000),48666
"Lion King, The (1994)",47305
Shrek (2001),46826
Speed (1994),46475
Ace Ventura: Pet Detective (1994),45608
Mission: Impossible (1996),45064
Titanic (1997),44787
"Dark Knight, The (2008)",44741
Men in Black (a.k.a. MIB) (1997),44287
Memento (2000),43739
"Princess Bride, The (1987)",42878
Good Will Hunting (1997),42769
Beauty and the Beast (1991),42400
"Terminator, The (1984)",42254
One Flew Over the Cuckoo's Nest (1975),42181
Indiana Jones and the Last Crusade (1989),42043
Inception (2010),41475
Die Hard: With a Vengeance (1995),41244
Monty Python and the Holy Grail (1975),40866
Groundhog Day (1993),40836
E.T. the Extra-Terrestrial (1982),40328
Die Hard (1988),40284
Pirates of the Caribbean: The Curse of the Black Pearl (2003),39674
Blade Runner (1982),39441
Alien (1979),39282
"Godfather: Part II, The (1974)",38875
"Mask, The (1994)",38699
Twister (1996),38662
Batman Forever (1995),38647
Pretty Woman (1990),38504
Mrs. Doubtfire (1993),38484
"Rock, The (1996)",37936
Dumb & Dumber (Dumb and Dumber) (1994),37823
Reservoir Dogs (1992),37331
Star Wars: Episode I - The Phantom Menace (1999),37179
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",37167
"Monsters, Inc. (2001)",37112
Finding Nemo (2003),37000
Stargate (1994),36996
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),36504
"Fifth Element, The (1997)",36269
X-Men (2000),36030
"Truman Show, The (1998)",36016
Goodfellas (1990),35934
Babe (1995),35903
Kill Bill: Vol. 1 (2003),35659
Ghostbusters (a.k.a. Ghost Busters) (1984),35343
Eternal Sunshine of the Spotless Mind (2004),35064
Aliens (1986),34572
Clear and Present Danger (1994),34547
American History X (1998),34110
"Beautiful Mind, A (2001)",33936
Ocean's Eleven (2001),33429
Willy Wonka & the Chocolate Factory (1971),33411
Being John Malkovich (1999),33390
Minority Report (2002),33163
"Green Mile, The (1999)",33140
GoldenEye (1995),33086
Taxi Driver (1976),32885
Home Alone (1990),32738
Rain Man (1988),32726
L.A. Confidential (1997),32553
"Clockwork Orange, A (1971)",32436
Ghost (1990),32210
"Shining, The (1980)",32129
Spider-Man (2002),32068
Batman Begins (2005),32027
"Incredibles, The (2004)",31857
Sleepless in Seattle (1993),31775
Trainspotting (1996),31545
2001: A Space Odyssey (1968),31418
Waterworld (1995),31310
Interview with the Vampire: The Vampire Chronicles (1994),31302
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",31224
Casablanca (1942),31095
"Bourne Identity, The (2002)",30822
Four Weddings and a Funeral (1994),30236
Star Trek: Generations (1994),30053
Kill Bill: Vol. 2 (2004),29990
Toy Story 2 (1999),29820
"Big Lebowski, The (1998)",29805
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),29484
Clueless (1995),29422
Ferris Bueller's Day Off (1986),29300
Outbreak (1995),28986
Apocalypse Now (1979),28986
Catch Me If You Can (2002),28798
